Symbol,Name
XXII,"22nd Century Group, Inc"
FAX,Aberdeen Asia-Pacific Income Fund Inc
IAF,Aberdeen Australia Equity Fund Inc
CH,"Aberdeen Chile Fund, Inc."
ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I
FCO,"Aberdeen Global Income Fund, Inc."
IF,"Aberdeen Indonesia Fund, Inc."
ISL,"Aberdeen Israel Fund, Inc."
ACU,Acme United Corporation.
ATNM,"Actinium Pharmaceuticals, Inc."
AE,"Adams Resources & Energy, Inc."
ADK,Adcare Health Systems Inc
ADK^A,Adcare Health Systems Inc
API,"Advanced Photonix, Inc."
ACY,AeroCentury Corp.
WGA,"AG&E Holdings, Inc."
AIRI,Air Industries Group
AA^,Alcoa Inc.
AXX,Alderon Iron Ore Corp.
AXU,Alexco Resource Corp
ANV,Allied Nevada Gold Corp.
AAU,"Almaden Minerals, Ltd."
APT,"Alpha Pro Tech, Ltd."
ALTV,Alteva (D/B/A)
AAMC,Altisource Asset Management Corp
DIT,AMCON Distributing Company
APP,American Apparel Inc
ADGE,American DG Energy Inc.
AMZG,American Eagle Energy Corporation.
ALN,American Lorain Corporation
AMS,American Shared Hospital Services
AQQ,"American Spectrum Realty, Inc."
AMPE,"Ampio Pharmaceuticals, Inc."
AXN,"Aoxing Pharmaceutical Company, Inc."
AMCO,"Armco Metals Holdings, Inc."
HRT,Arrhythmia Research Technology Inc.
AKG,Asanko Gold Inc.
AINC,Ashford Inc.
AST,"Asterias Biotherapeutics, Inc."
ATL,Atlatsa Resources Corporation
AWX,Avalon Holdings Corporation
AVL,"Avalon Rare Metals, Inc."
ASM,Avino Silver
BTG,B2Gold Corp
BONE,"Bacterin International Holdings, Inc."
BTN,"Ballantyne Strong, Inc"
BKJ,"Bancorp of New Jersey, Inc"
BCV,Bancroft Fund Limited
BAA,BANRO CORPORATION
BHB,"Bar Harbor Bankshares, Inc."
BRN,"Barnwell Industries, Inc."
BIR^A,"Berkshire Income Realty, Inc."
BGSF,BG Staffing Inc
BTX,"BioTime, Inc."
BTX/WS,"BioTime, Inc."
BGI,Birks Group Inc.
BZM,BlackRock Maryland Municipal Bond Trust
MHE,BlackRock Massachusetts Tax-Exempt Trust
BLE,BlackRock Municipal Income Trust II
BLJ,Blackrock New Jersey Municipal Bond Trust
BFY,BlackRock New York Municipal Income Trust II
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The)
BHV,BlackRock Virginia Municipal Bond Trust
BDR,"Blonder Tongue Laboratories, Inc."
BRG,"Bluerock Residential Growth REIT, Inc."
BVX,Bovie Medical Corporation
BWL/A,"Bowl America, Inc."
BZC,Breeze-Eastern Corporation
BTI,British American Tobacco p.l.c.
CAK,CAMAC Energy Inc.
CANF,Can-Fite Biopharma Ltd
ROX,"Castle Brands, Inc."
CAW,"CCA Industries, Inc."
CVM,Cel-Sci Corporation
CVM/WS,Cel-Sci Corporation
CEF,Central Fund of Canada Limited
GTU,Central Gold Trust
CET,Central Securities Corporation
CCF,Chase Corporation
CQH,"Cheniere Energy Partners LP Holdings, LLC"
CQP,"Cheniere Energy Partners, LP"
LNG,"Cheniere Energy, Inc."
CVR,Chicago Rivet & Machine Co.
CNR,China Metro-Rural Holdings Limited
CPHI,"China Pharma Holdings, Inc."
CKX,"CKX Lands, Inc."
GLV,Clough Global Allocation Fund
GLQ,Clough Global Equity Fund
GLO,Clough Global Opportunities Fund
CRV,"Coast Distribution System, Inc. (The)"
MOC,Command Security Corporation
CIX,CompX International Inc.
LODE,"Comstock Mining, Inc."
CTO,Consolidated-Tomoka Land Co.
MCF,Contango Oil & Gas Company
CUO,Continental Materials Corporation
CMT,Core Molding Technologies Inc
CRMD,CorMedix Inc
CRMD/WS,CorMedix Inc
CFP,Cornerstone Progressive Return Fund
CRF,"Cornerstone Strategic Return Fund, Inc. (The)"
CLM,"Cornerstone Strategic Value Fund, Inc."
COVR,Cover-All Technologies Inc.
CVU,"CPI Aerostructures, Inc."
CIK,"Credit Suisse Asset Management Income Fund, Inc."
DHY,Credit Suisse High Yield Bond Fund
EXE,"Crexendo, Inc."
CRVP,"Crystal Rock Holdings, Inc."
CTP,CTPartners Executive Search Inc.
CVSL,CVSL Inc.
DAKP,"Dakota Plains Holdings, Inc."
DXR,Daxor Corporation
DEJ,Dejour Energy Inc.
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc"
VFL,Delaware Investments Florida Insured Municipal Income Fund
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc."
DLA,"Delta Apparel, Inc."
DNN,Denison Mine Corp
DGSE,"DGSE Companies, Inc."
DPW,Digital Power Corporation
DSS,"Document Security Systems, Inc."
DMF,"Dreyfus Municipal Income, Inc."
GRF,"Eagle Capital Growth Fund, Inc."
ESTE,"Earthstone Energy, Inc."
EVM,Eaton Vance California Municipal Bond Fund
EIA,Eaton Vance California Municipal Bond Fund II
CEV,Eaton Vance California Municipal Income Trust
EVV,Eaton Vance Limited Duration Income Fund
MAB,Eaton Vance Massachusetts Municipal Bond Fund
MMV,Eaton Vance Massachusetts Municipal Income Trust
MIW,Eaton Vance Michigan Municipal Bond Fund
EMI,Eaton Vance Michigan Municipal Income Trust
EIM,Eaton Vance Municipal Bond Fund
EIV,Eaton Vance Municipal Bond Fund II
EMJ,Eaton Vance New Jersey Municipal Bond Fund
EVJ,Eaton Vance New Jersey Municipal Income Trust
ENX,Eaton Vance New York Municipal Bond Fund
NYH,Eaton Vance New York Municipal Bond Fund II
EVY,Eaton Vance New York Municipal Income Trust
EIO,Eaton Vance Ohio Municipal Bond Fund
EVO,Eaton Vance Ohio Municipal Income Trust
EIP,Eaton Vance Pennsylvania Municipal Bond Fund
EVP,Eaton Vance Pennsylvania Municipal Income Trust
ELMD,"Electromed, Inc."
ETAK,Elephant Talk Communications Corp.
ELLO,Ellomay Capital Ltd.
ECF,"Ellsworth Convertible Growth and Income Fund, Inc."
EMAN,eMagin Corporation
EOX,"Emerald Oil, Inc."
MSN,Emerson Radio Corporation
UUUU,Energy Fuels Inc
ENRJ,"EnerJex Resources, Inc."
ENRJ^,"EnerJex Resources, Inc."
ENSV,ENSERVCO Corporation
EGI,Entree Gold Inc
EVI,"EnviroStarm, Inc."
ERB,"ERBA Diagnostics, Inc."
ESP,Espey Mfg. & Electronics Corp.
EMXX,Eurasian Minerals Inc.
EVBN,"Evans Bancorp, Inc."
EVK,"Ever-Glory International Group, Inc."
EPM,"Evolution Petroleum Corporation, Inc."
EPM^A,"Evolution Petroleum Corporation, Inc."
XRA,Exeter Resource Corporation
FPI,Farmland Partners Inc.
FPP,FieldPoint Petroleum Corporation
FPP/WS,FieldPoint Petroleum Corporation
FEN,First Trust Energy Income and Growth Fund
FWV,"First West Virginia Bancorp, Inc."
BDL,"Flanigan&#39;s Enterprises, Inc."
FSI,Flexible Solutions International Inc.
FTF,Franklin Limited Duration Income Trust
FSP,Franklin Street Properties Corp.
FRD,Friedman Industries Inc.
FRS,"Frisch&#39;s Restaurants, Inc."
GGN,"GAMCO Global Gold, Natural Reources & Income Trust "
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust "
EGAS,Gas Natural Inc.
GST,Gastar Exploration Inc.
GST^A,Gastar Exploration Inc.
GST^B,Gastar Exploration Inc.
JOB,"General Employment Enterprises, Inc."
GMO,"General Moly, Inc"
GIG,"GigOptix, Inc."
GSB,"GlobalSCAPE, Inc."
GSAT,"Globalstar, Inc."
GLOW,"Glowpoint, Inc."
GORO,Gold Resource Corporation
GSV,Gold Standard Ventures Corporation
AUMN,Golden Minerals Company
GSS,"Golden Star Resources, Ltd"
GV,Goldfield Corporation (The)
GRC,Gorman-Rupp Company (The)
GTE,Gran Tierra Energy Inc.
GPL,Great Panther Silver Limited
GRH,"GreenHunter Resources, Inc."
GRH^C,"GreenHunter Resources, Inc."
SIM,"Grupo Simec, S.A. de C.V."
GVP,"GSE Systems, Inc."
HEB,"Hemispherx BioPharma, Inc."
HLM^,Hillman Group Capital Trust
HMG,"HMG/Courtland Properties, Inc."
HH,"Hooper Holmes, Inc."
HUSA,Houston American Energy Corporation
IBIO,"iBio, Inc."
